기준_년분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,분기_매출금액,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,월_평균_소득_금액,식료품_지출_총금액,여가_지출_총금액,문화_지출_총금액,유흥_지출_총금액,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,집객시설_수,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_점포_수,일반_점포_수,프랜차이즈_점포_수,평균 최저기온(℃),평균 최고기온(℃),총 강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),일반음식점_점포수,자치구,행정동
20223,골목상권,3110005,세검정,38500844,2153,1044,1109,356,294,250,346,374,533,205,153,119,152,173,242,151,141,131,194,201,291,정체,112,63,99,50,3768541,221446948.0,37478670.0,25606895.0,37192149.0,563.0,315.0,248.0,0.0,94.0,163.0,152.0,108.0,46.0,0.0,39.0,91.0,88.0,65.0,32.0,0.0,55.0,72.0,64.0,43.0,14.0,16.0,121114.0,54290.0,66823.0,22100.0,11906.0,14309.0,19099.0,20818.0,32881.0,30031.0,24689.0,14389.0,14420.0,20501.0,17084.0,17451.0,17612.0,17598.0,17275.0,17372.0,16966.0,16837.0,3,2,1,21.85,29.06,1018.6,2.25,75.24,998.44,35,종로구,부암동
20224,골목상권,3110005,세검정,19364845,2153,1046,1107,243,308,267,285,410,640,133,171,138,124,181,299,110,137,129,161,229,341,정체,106,67,99,51,3768541,221446948.0,37478670.0,25606895.0,37192149.0,586.0,327.0,259.0,0.0,99.0,170.0,158.0,114.0,45.0,0.0,41.0,94.0,90.0,69.0,33.0,0.0,58.0,76.0,68.0,45.0,12.0,16.0,112754.0,50576.0,62178.0,21871.0,10510.0,12310.0,17445.0,19401.0,31215.0,30757.0,23725.0,12574.0,12374.0,17719.0,15605.0,16217.0,16229.0,15756.0,16155.0,15920.0,16103.0,16373.0,3,2,1,3.06,12.22,222.2,2.19,64.06,998.44,36,종로구,부암동
20221,골목상권,3110006,부암동주민센터,74673227,687,319,368,64,70,75,94,129,255,36,38,32,45,59,109,28,32,43,49,70,146,상권확장,91,55,97,50,3963935,71242932.0,11024632.0,7714004.0,10854984.0,70.0,40.0,30.0,0.0,12.0,20.0,19.0,14.0,5.0,0.0,5.0,11.0,11.0,9.0,4.0,0.0,7.0,9.0,8.0,5.0,1.0,3.0,6845.0,3210.0,3634.0,1051.0,739.0,837.0,1284.0,1156.0,1780.0,1500.0,1589.0,901.0,883.0,1147.0,824.0,941.0,958.0,959.0,954.0,953.0,1018.0,1062.0,5,5,0,-2.72,6.48,112.8,2.43,57.37,1011.91,31,종로구,부암동
20222,골목상권,3110006,부암동주민센터,100341769,687,319,368,64,70,75,94,129,255,36,38,32,45,59,109,28,32,43,49,70,146,상권확장,85,57,98,50,3963935,71242932.0,11024632.0,7714004.0,10854984.0,70.0,40.0,30.0,0.0,12.0,20.0,19.0,14.0,5.0,0.0,5.0,11.0,11.0,9.0,4.0,0.0,7.0,9.0,8.0,5.0,1.0,3.0,7100.0,3416.0,3686.0,1289.0,785.0,875.0,1290.0,1097.0,1764.0,1492.0,1666.0,1000.0,954.0,1168.0,820.0,973.0,1003.0,1002.0,1007.0,998.0,1044.0,1071.0,6,6,0,14.58,24.36,421.7,2.6,61.18,1001.83,32,종로구,부암동
20223,골목상권,3110006,부암동주민센터,100393378,687,319,368,64,70,75,94,129,255,36,38,32,45,59,109,28,32,43,49,70,146,상권확장,88,57,99,50,3963935,71242932.0,11024632.0,7714004.0,10854984.0,70.0,40.0,30.0,0.0,12.0,20.0,19.0,14.0,5.0,0.0,5.0,11.0,11.0,9.0,4.0,0.0,7.0,9.0,8.0,5.0,1.0,3.0,6894.0,3345.0,3549.0,1232.0,791.0,885.0,1194.0,1101.0,1691.0,1501.0,1605.0,938.0,902.0,1127.0,821.0,977.0,957.0,988.0,1006.0,962.0,984.0,1019.0,6,6,0,21.85,29.06,1018.6,2.25,75.24,998.44,29,종로구,부암동
20224,골목상권,3110006,부암동주민센터,120912573,671,329,342,46,68,70,66,127,294,27,40,37,28,65,132,19,28,33,38,62,162,상권확장,86,57,99,51,3963935,71242932.0,11024632.0,7714004.0,10854984.0,85.0,47.0,38.0,0.0,14.0,25.0,23.0,17.0,6.0,0.0,6.0,13.0,13.0,10.0,5.0,0.0,8.0,12.0,10.0,7.0,1.0,3.0,8585.0,3381.0,5205.0,1226.0,726.0,890.0,1286.0,1183.0,3275.0,1749.0,1626.0,1144.0,1298.0,1545.0,1223.0,1076.0,1223.0,1181.0,1255.0,1171.0,1363.0,1316.0,6,6,0,3.06,12.22,222.2,2.19,64.06,998.44,30,종로구,부암동
20221,골목상권,3110008,배화여자대학교(박노수미술관),1966517559,4595,2051,2544,714,563,656,846,716,1100,347,255,317,360,329,443,367,308,339,486,387,657,다이나믹,72,48,97,50,3443668,683186826.0,103948914.0,80125777.0,112587259.0,1254.0,803.0,451.0,0.0,212.0,363.0,361.0,233.0,85.0,0.0,92.0,224.0,260.0,168.0,59.0,0.0,120.0,139.0,101.0,65.0,26.0,9.0,1242028.0,530723.0,711304.0,227676.0,170611.0,191381.0,214853.0,181559.0,255948.0,327927.0,257454.0,155662.0,146928.0,198166.0,155892.0,177142.0,176163.0,178253.0,179271.0,176173.0,177867.0,177159.0,38,37,1,-2.72,6.48,112.8,2.43,57.37,1011.91,312,종로구,청운효자동
20222,골목상권,3110008,배화여자대학교(박노수미술관),2226225708,4595,2051,2544,714,563,656,846,716,1100,347,255,317,360,329,443,367,308,339,486,387,657,다이나믹,72,48,98,50,3443668,683186826.0,103948914.0,80125777.0,112587259.0,1254.0,803.0,451.0,0.0,212.0,363.0,361.0,233.0,85.0,0.0,92.0,224.0,260.0,168.0,59.0,0.0,120.0,139.0,101.0,65.0,26.0,9.0,1347671.0,538014.0,809657.0,274036.0,185183.0,202864.0,227163.0,192021.0,266402.0,335157.0,279961.0,187428.0,170214.0,213059.0,161850.0,196967.0,196565.0,192464.0,195826.0,189330.0,189578.0,186940.0,40,39,1,14.58,24.36,421.7,2.6,61.18,1001.83,317,종로구,청운효자동
20223,골목상권,3110008,배화여자대학교(박노수미술관),1895665286,4595,2051,2544,714,563,656,846,716,1100,347,255,317,360,329,443,367,308,339,486,387,657,다이나믹,74,47,99,50,3443668,683186826.0,103948914.0,80125777.0,112587259.0,1254.0,803.0,451.0,0.0,212.0,363.0,361.0,233.0,85.0,0.0,92.0,224.0,260.0,168.0,59.0,0.0,120.0,139.0,101.0,65.0,26.0,9.0,1285556.0,532095.0,753459.0,245469.0,168100.0,194639.0,225865.0,188642.0,262840.0,334065.0,265792.0,166046.0,154082.0,205068.0,160501.0,184082.0,184888.0,186050.0,186141.0,183080.0,181000.0,180314.0,42,41,1,21.85,29.06,1018.6,2.25,75.24,998.44,317,종로구,청운효자동
20224,골목상권,3110008,배화여자대학교(박노수미술관),1958664511,5038,2280,2758,621,598,669,863,875,1412,308,266,314,382,417,593,313,332,355,481,458,819,다이나믹,73,48,99,51,3443668,683186826.0,103948914.0,80125777.0,112587259.0,1370.0,882.0,488.0,0.0,231.0,399.0,397.0,248.0,95.0,0.0,99.0,251.0,286.0,180.0,66.0,0.0,132.0,148.0,111.0,68.0,29.0,9.0,1332543.0,541373.0,791169.0,267565.0,178547.0,197433.0,230826.0,192090.0,266085.0,337185.0,275483.0,180587.0,165622.0,210683.0,162984.0,189507.0,194366.0,190705.0,193748.0,189915.0,188690.0,185611.0,45,44,1,3.06,12.22,222.2,2.19,64.06,998.44,326,종로구,청운효자동
20221,골목상권,3110009,자하문터널,105885200,1602,770,832,216,209,237,305,277,358,123,110,122,138,119,158,93,99,115,167,158,200,상권확장,79,51,97,50,3702978,236811262.0,41212214.0,28357226.0,41879785.0,377.0,212.0,165.0,0.0,60.0,113.0,104.0,72.0,28.0,0.0,25.0,62.0,60.0,45.0,20.0,0.0,35.0,51.0,44.0,27.0,8.0,3.0,177855.0,83034.0,94822.0,24791.0,19465.0,22570.0,33366.0,30913.0,46751.0,60271.0,36487.0,17681.0,16657.0,23038.0,23720.0,24972.0,25286.0,25269.0,25019.0,25338.0,26065.0,25906.0,14,13,1,-2.72,6.48,112.8,2.43,57.37,1011.91,39,종로구,부암동
20222,골목상권,3110009,자하문터널,308523405,1602,770,832,216,209,237,305,277,358,123,110,122,138,119,158,93,99,115,167,158,200,상권확장,81,51,98,50,3702978,236811262.0,41212214.0,28357226.0,41879785.0,377.0,212.0,165.0,0.0,60.0,113.0,104.0,72.0,28.0,0.0,25.0,62.0,60.0,45.0,20.0,0.0,35.0,51.0,44.0,27.0,8.0,3.0,176832.0,81781.0,95052.0,24824.0,20082.0,23332.0,33006.0,29191.0,46397.0,59337.0,35840.0,17974.0,17235.0,23156.0,23290.0,24520.0,24773.0,25144.0,25137.0,24893.0,26353.0,26009.0,14,13,1,14.58,24.36,421.7,2.6,61.18,1001.83,40,종로구,부암동
20223,골목상권,3110009,자하문터널,414625601,1602,770,832,216,209,237,305,277,358,123,110,122,138,119,158,93,99,115,167,158,200,상권확장,83,51,99,50,3702978,236811262.0,41212214.0,28357226.0,41879785.0,377.0,212.0,165.0,0.0,60.0,113.0,104.0,72.0,28.0,0.0,25.0,62.0,60.0,45.0,20.0,0.0,35.0,51.0,44.0,27.0,8.0,3.0,172025.0,79396.0,92629.0,23179.0,20127.0,22997.0,31031.0,29256.0,45433.0,56756.0,34728.0,17207.0,16950.0,23331.0,23053.0,24100.0,24173.0,24334.0,24403.0,24563.0,25241.0,25211.0,15,14,1,21.85,29.06,1018.6,2.25,75.24,998.44,37,종로구,부암동
20224,골목상권,3110009,자하문터널,216424409,1622,787,835,159,207,221,257,302,476,95,114,117,114,129,218,64,93,104,143,173,258,다이나믹,84,51,99,51,3702978,236811262.0,41212214.0,28357226.0,41879785.0,314.0,173.0,141.0,0.0,55.0,88.0,86.0,62.0,23.0,0.0,22.0,49.0,49.0,37.0,16.0,0.0,33.0,39.0,37.0,25.0,7.0,3.0,173943.0,78104.0,95839.0,23662.0,20313.0,23913.0,32199.0,28346.0,45511.0,48605.0,33151.0,20122.0,20079.0,27696.0,24292.0,23706.0,24433.0,24438.0,24674.0,24887.0,26321.0,25482.0,15,14,1,3.06,12.22,222.2,2.19,64.06,998.44,38,종로구,부암동
20221,골목상권,3110012,성곡미술관,369739596,1928,873,1055,272,287,267,291,375,436,130,134,117,124,178,190,142,153,150,167,197,246,정체,98,52,97,50,5448355,273854172.0,55335090.0,34182648.0,50936827.0,2749.0,1723.0,1026.0,0.0,365.0,775.0,826.0,547.0,236.0,0.0,154.0,478.0,564.0,381.0,146.0,0.0,211.0,297.0,262.0,166.0,90.0,12.0,571544.0,255269.0,316275.0,52093.0,74200.0,111769.0,115443.0,92476.0,125563.0,121977.0,124948.0,88908.0,85324.0,92585.0,57802.0,85834.0,86138.0,86317.0,89016.0,87225.0,68733.0,68283.0,11,10,1,-2.72,6.48,112.8,2.43,57.37,1011.91,381,종로구,사직동
20222,골목상권,3110012,성곡미술관,606571626,1928,873,1055,272,287,267,291,375,436,130,134,117,124,178,190,142,153,150,167,197,246,정체,101,52,98,50,5448355,273854172.0,55335090.0,34182648.0,50936827.0,2749.0,1723.0,1026.0,0.0,365.0,775.0,826.0,547.0,236.0,0.0,154.0,478.0,564.0,381.0,146.0,0.0,211.0,297.0,262.0,166.0,90.0,12.0,628807.0,278811.0,349998.0,55611.0,85518.0,124941.0,130137.0,99579.0,133022.0,129615.0,135937.0,99952.0,96328.0,104181.0,62794.0,93712.0,97817.0,95725.0,94872.0,94715.0,75850.0,76115.0,11,10,1,14.58,24.36,421.7,2.6,61.18,1001.83,384,종로구,사직동
20223,골목상권,3110012,성곡미술관,500112498,1928,873,1055,272,287,267,291,375,436,130,134,117,124,178,190,142,153,150,167,197,246,정체,105,52,99,50,5448355,273854172.0,55335090.0,34182648.0,50936827.0,2749.0,1723.0,1026.0,0.0,365.0,775.0,826.0,547.0,236.0,0.0,154.0,478.0,564.0,381.0,146.0,0.0,211.0,297.0,262.0,166.0,90.0,12.0,616940.0,271223.0,345718.0,57852.0,83335.0,123171.0,127436.0,99424.0,125723.0,123874.0,134149.0,99362.0,96649.0,102079.0,60827.0,89978.0,95315.0,95737.0,95130.0,92510.0,73689.0,74580.0,11,10,1,21.85,29.06,1018.6,2.25,75.24,998.44,379,종로구,사직동
20224,골목상권,3110012,성곡미술관,467398234,1916,878,1038,262,212,252,312,358,520,138,94,123,131,159,233,124,118,129,181,199,287,정체,101,52,99,51,5448355,273854172.0,55335090.0,34182648.0,50936827.0,2933.0,1837.0,1096.0,0.0,388.0,826.0,885.0,583.0,251.0,0.0,164.0,508.0,605.0,405.0,155.0,0.0,224.0,318.0,280.0,178.0,96.0,12.0,617027.0,272266.0,344762.0,58022.0,81460.0,120903.0,129291.0,102673.0,124678.0,122370.0,133194.0,99974.0,96554.0,103907.0,61029.0,89009.0,94744.0,95229.0,95100.0,92942.0,75283.0,74721.0,12,11,1,3.06,12.22,222.2,2.19,64.06,998.44,387,종로구,사직동
20221,골목상권,3110013,체부동홍종문가옥,23606228,374,179,195,46,49,70,53,57,99,26,25,29,27,26,46,20,24,41,26,31,53,다이나믹,67,41,97,50,3732442,47549857.0,8440927.0,5717126.0,7871309.0,99.0,63.0,36.0,0.0,15.0,29.0,29.0,19.0,7.0,0.0,6.0,18.0,21.0,13.0,5.0,0.0,9.0,11.0,8.0,6.0,2.0,,123478.0,52185.0,71293.0,20741.0,18610.0,19276.0,20889.0,17588.0,26373.0,25661.0,24547.0,18377.0,18175.0,22781.0,13938.0,17406.0,17379.0,17639.0,17951.0,17612.0,18061.0,17428.0,5,5,0,-2.72,6.48,112.8,2.43,57.37,1011.91,271,종로구,사직동
20222,골목상권,3110013,체부동홍종문가옥,33113607,374,179,195,46,49,70,53,57,99,26,25,29,27,26,46,20,24,41,26,31,53,다이나믹,70,41,98,50,3732442,47549857.0,8440927.0,5717126.0,7871309.0,99.0,63.0,36.0,0.0,15.0,29.0,29.0,19.0,7.0,0.0,6.0,18.0,21.0,13.0,5.0,0.0,9.0,11.0,8.0,6.0,2.0,,133932.0,52194.0,81738.0,25793.0,20383.0,20447.0,21881.0,18673.0,26754.0,25177.0,26694.0,22101.0,20884.0,24486.0,14591.0,19304.0,19428.0,19024.0,19536.0,19111.0,19238.0,18293.0,5,5,0,14.58,24.36,421.7,2.6,61.18,1001.83,278,종로구,사직동
20223,골목상권,3110013,체부동홍종문가옥,28590314,374,179,195,46,49,70,53,57,99,26,25,29,27,26,46,20,24,41,26,31,53,다이나믹,67,41,99,50,3732442,47549857.0,8440927.0,5717126.0,7871309.0,99.0,63.0,36.0,0.0,15.0,29.0,29.0,19.0,7.0,0.0,6.0,18.0,21.0,13.0,5.0,0.0,9.0,11.0,8.0,6.0,2.0,,123870.0,50023.0,73846.0,22326.0,18219.0,19087.0,21152.0,17811.0,25275.0,25050.0,24651.0,19063.0,18283.0,22760.0,14062.0,17512.0,17604.0,17848.0,17917.0,17857.0,17812.0,17318.0,6,6,0,21.85,29.06,1018.6,2.25,75.24,998.44,280,종로구,사직동
20224,골목상권,3110013,체부동홍종문가옥,27753364,292,137,155,25,30,53,54,46,84,16,15,19,29,19,39,9,15,34,25,27,45,다이나믹,66,41,99,51,3732442,47549857.0,8440927.0,5717126.0,7871309.0,127.0,82.0,45.0,0.0,22.0,35.0,37.0,23.0,10.0,0.0,10.0,22.0,27.0,16.0,7.0,0.0,12.0,13.0,10.0,7.0,3.0,,129009.0,51090.0,77919.0,24649.0,19501.0,19708.0,21681.0,18016.0,25455.0,24977.0,25574.0,20703.0,19679.0,23655.0,14420.0,18014.0,18610.0,18418.0,18813.0,18639.0,18749.0,17766.0,6,6,0,3.06,12.22,222.2,2.19,64.06,998.44,288,종로구,사직동
20221,골목상권,3110014,경복고등학교,18231233,931,429,502,136,113,93,162,161,266,76,58,37,73,75,110,60,55,56,89,86,156,상권확장,95,58,97,50,5290159,60033663.0,9425497.0,7095605.0,10314243.0,641.0,415.0,226.0,1.0,118.0,185.0,179.0,114.0,44.0,0.0,52.0,116.0,133.0,82.0,32.0,1.0,66.0,69.0,46.0,32.0,12.0,11.0,52469.0,27484.0,24985.0,9815.0,7724.0,7346.0,9366.0,7887.0,10333.0,8825.0,11920.0,8935.0,8671.0,8832.0,5285.0,7490.0,7563.0,7610.0,7796.0,7635.0,7193.0,7181.0,6,6,0,-2.72,6.48,112.8,2.43,57.37,1011.91,25,종로구,청운효자동
